date,epiweek,region,fips,positiveIncr,negativeIncr,ttlTestIncr,onVentilation,inIcu,deathIncr,death_jhu_incidence,recovered,covid-net,hospitalizeIncr,hospitalization,n_visits,cases,h_next1,h_next2,d_next1,d_next2
25/04/2020,202017,ID,16,215,2537,2752,0,0,11,11,4931,,17,0.000186190845617,0.000118101281326,0.433669644421445,5,,6,
02/05/2020,202018,ID,16,82,8939,9021,0,0,6,6,4047,,5,,,0,,,,
07/03/2020,202010,IL,17,2,67,69,0,0,0,2,0,,0,0.0322265321955,0.029162997264716,6.96587106835303,0,0,0,6
14/03/2020,202011,IL,17,40,125,165,0,0,0,3,0,,0,0.031171450737006,0.027536553075591,6.42449257440646,0,0,6,41
21/03/2020,202012,IL,17,707,5172,5879,0,0,6,6,0,,0,0.030162916989915,0.021441943742965,6.00975835539876,0,0,41,196
28/03/2020,202013,IL,17,2738,16512,19250,0,0,41,41,0,,0,0.032055857253685,0.015801514029266,4.04399085462561,0,3680,196,434
04/04/2020,202014,IL,17,6866,21224,28090,0,0,196,196,0,,0,0.037315748642359,0.015112589888198,1.40987479584502,3680,2500,434,582
11/04/2020,202015,IL,17,8823,29745,38568,4105,5830,434,434,0,,3680,0.039767261442979,0.012014253804028,0.430456977652193,2500,3449,582,615
18/04/2020,202016,IL,17,9980,35275,45255,5548,8346,582,582,0,,2500,0.027478665632273,0.008904253395776,0.205785224445915,3449,3311.5,615,341
25/04/2020,202017,IL,17,12617,51596,64213,5272,8618,615,615,0,,3449,0.009635376260667,0.001942838979838,0.167639418135154,3311.5,,341,
02/05/2020,202018,IL,17,8578,46472,55050,3090,5051,341,341,0,,3311.5,,,0.120477155009616,,,,
07/03/2020,202010,IN,18,0,0,0,0,0,0,0,0,,0,0.014197051978278,0.018389535934867,6.65903099866838,0,1,0,4
14/03/2020,202011,IN,18,14,74,88,0,0,0,0,0,,0,0.013964313421257,0.018124172562011,6.39594914931268,1,0,4,27
21/03/2020,202012,IN,18,111,633,744,0,0,4,4,0,,1,0.013452288595811,0.014425123787639,6.71634537054721,0,0,27,85
28/03/2020,202013,IN,18,1106,6468,7574,0,0,27,27,0,,0,0.013948797517455,0.010632760420616,2.98696532793738,0,0,85,214
04/04/2020,202014,IN,18,2721,8672,11393,0,0,85,85,0,,0,0.013871217998448,0.009130249674857,1.01470291434349,0,0,214,215
11/04/2020,202015,IN,18,3482,15933,19415,3022,5336,214,214,0,,0,0.011636927851047,0.007169914208896,0.606430654507433,0,0,215,240
18/04/2020,202016,IN,18,3206,14452,17658,3016,5015,215,215,0,,0,0.007695888285493,0.005303622355844,0.289144484388889,0,0,240,280
25/04/2020,202017,IN,18,3754,19147,22901,2379,4498,240,240,0,,0,0.001613653995345,0.000820876807241,0.498358176430898,0,,280,
02/05/2020,202018,IN,18,2787,8989,11776,1131,2286,280,280,0,,0,,,0.448052240369399,,,,
07/03/2020,202010,KS,20,0,7,7,0,0,0,0,0,,0,0.006144297905353,0.00575488589375,8.3130873762404,0,0,1,1
14/03/2020,202011,KS,20,6,82,88,0,0,1,1,0,,0,0.005151280062064,0.005193540297324,6.54035804532708,0,27,1,3
21/03/2020,202012,KS,20,49,324,373,0,0,1,1,0,,0,0.00499612102405,0.004189679406053,5.40993484916554,27,145,3,16
